date,pub,supplier,amount,category
2026-01-01,Red Lion - Glasgow,Diageo Ltd,£1180.00,Alcohol
05/01/2026,Kings Arms - Edinburgh,Diageo PLC,1245.00,Alcohol
1/9/2026,The Crown - Stirling,Diageo Limited,1290.00,Alcohol
13-1-2026,Black Bull - Dundee,DIAGEO,1320.00,Alcohol
2026-01-17,Queens Head - Aberdeen,diageo ltd,1380.00,Alcohol
16/01/2026,The Anchor - Perth,HEINEKEN,£990.00,Alcohol
1/20/2026,White Hart - Inverness,heinekenuk,920.00,Alcohol
24-1-2026,The Swan - Ayr,HEINEKEN,"965,00",Alcohol
2026-01-25,The Plough - Falkirk,Booker Wholesale,420.00,Food
01/01/2026,Royal Oak - Paisley,Booker Ltd,510.00,Food
1/5/2026,The Ship Inn - Oban,Booker Wholesale,£680.00,Food
9-1-2026,Fox & Hound - Hamilton,Booker Ltd,720.00,Food
2026-01-09,Red Lion - Glasgow,Brakes Catering,540.00,Food
13/01/2026,Kings Arms - Edinburgh,Brakes,440.00,Food
1/17/2026,The Crown - Stirling,Brakes Catering,"498,00",Food
18-1-2026,Black Bull - Dundee,JJ Food Service,£640.00,Food
2026-01-22,Queens Head - Aberdeen,J J Food,580.00,Food
24/01/2026,The Anchor - Perth,COCA-COLA EUROPACIFIC,765.00,Soft Drinks
1/28/2026,White Hart - Inverness,Coca Cola,690.00,Soft Drinks
2-1-2026,The Swan - Ayr,Amazon,120.00,Supplies
2026-01-06,The Plough - Falkirk,Amazon Business,£88.00,Supplies
08/01/2026,Royal Oak - Paisley,Scottish Water,"210,00",Utilities
1/12/2026,The Ship Inn - Oban,E.ON,285.00,Utilities
16-1-2026,Fox & Hound - Hamilton,British Gas,310.00,Utilities
2026-01-20,Red Lion - Glasgow,BT PLC,98.00,Utilities
20/01/2026,Kings Arms - Edinburgh,Local Bakery,£342.00,Food
1/24/2026,The Crown - Stirling,Local Butcher,145.00,Food
26-1-2026,Black Bull - Dundee,Sky Business,210.00,Supplies
2026-01-02,Queens Head - Aberdeen,Bidfood,"95,00",Supplies
04/01/2026,The Anchor - Perth,Bidfood,240.00,
1/8/2026,White Hart - Inverness,Sky Business,£310.00,
12-1-2026,The Swan - Ayr,Bidfood,180.00,
2026-02-13,The Plough - Falkirk,Diageo PLC,1400.00,Alcohol
17/02/2026,Royal Oak - Paisley,Diageo Limited,1420.00,Alcohol
2/21/2026,The Ship Inn - Oban,DIAGEO,1250.00,Alcohol
25-2-2026,Fox & Hound - Hamilton,diageo ltd,£1290.00,Alcohol
2026-02-01,Red Lion - Glasgow,Diageo Ltd,1310.00,Alcohol
05/02/2026,Kings Arms - Edinburgh,Diageo PLC,1350.00,Alcohol
2/3/2026,The Crown - Stirling,Heineken UK,970.00,Alcohol
7-2-2026,Black Bull - Dundee,Heineken UK Ltd,1020.00,Alcohol
2026-02-11,Queens Head - Aberdeen,Heineken UK,£890.00,Alcohol
15/02/2026,The Anchor - Perth,Heineken UK Ltd,950.00,Alcohol
2/15/2026,White Hart - Inverness,Booker Ltd,"450,00",Food
19-2-2026,The Swan - Ayr,Booker Wholesale,520.00,Food
2026-02-23,The Plough - Falkirk,Booker Ltd,710.00,Food
27/02/2026,Royal Oak - Paisley,Booker Wholesale,£780.00,Food
2/3/2026,The Ship Inn - Oban,Booker Ltd,890.00,Food
2-2-2026,Fox & Hound - Hamilton,brakes,522.00,Food
2026-02-06,Red Lion - Glasgow,BRAKES UK,456.00,Food
10/02/2026,Kings Arms - Edinburgh,brakes,"500,00",Food
2/11/2026,The Crown - Stirling,J J Food,£640.00,Food
