date,pub,supplier,amount,category
27/02/2026,Royal Oak - Paisley,Heineken UK Ltd,£1029.48,Food
2/4/2026,Fox & Hound - Hamilton,BRAKES UK,268.85,Maintenance
24/02/2026,Red Lion - Glasgow,Makro,233.08,Cleaning
2026-01-30,The Crown - Stirling,E.ON,£321.61,Utilities
2/4/2026,White Hart - Inverness,Diageo Ltd,272.26,Soft Drinks
2026-04-08,The Swan - Ayr,Coca Cola,162.45 ,Soft Drinks
1/13/2026,The Crown - Stirling,Booker Ltd,483.38,Utilities
1/11/2026,The Ship Inn - Oban,scottish water,765.13,Food
03/03/2026,The Ship Inn - Oban,Costco UK,564.04,Food
18/04/2026,The Anchor - Perth,HEINEKEN,253.18,Supplies
2026-01-18,Red Lion - Glasgow,Bidfood,£63.20,Soft Drinks
2/15/2026,Royal Oak - Paisley,Costco UK,83.22,Cleaning
02/03/2026,White Hart - Inverness,Amazon,830.23 ,Food
2/20/2026,The Ship Inn - Oban,Bidfood,152.91,Supplies
19/01/2026,The Plough - Falkirk,JJ Food Service,419.00 ,Supplies
02/04/2026,White Hart - Inverness,DIAGEO,-1084.77,Alcohol
2026-04-02,Black Bull - Dundee,Brakes Catering,193.00,Utilities
1/21/2026,Fox & Hound - Hamilton,British Gas,£375.27,Soft Drinks
2026-02-05,Red Lion - Glasgow,HeinekenUK Ltd,37.21,Soft Drinks
13/03/2026,Red Lion - Glasgow,CocaCola,43.89,Supplies
2026-02-02,The Plough - Falkirk,JJ Food Service,£327.18,Cleaning
12/04/2026,Royal Oak - Paisley,E.ON,262.62,Soft Drinks
2026-01-20,Kings Arms - Edinburgh,Diageo Ltd,£62.29 ,Supplies
1/28/2026,The Anchor - Perth,Brakes,1927.42,Alcohol
1/3/2026,Red Lion - Glasgow,Local Bakery,677.60,Food
05/03/2026,The Anchor - Perth,Local Butcher,138.55,Supplies
12/03/2026,Red Lion - Glasgow,BRAKES UK,£842.02,Food
01/02/2026,White Hart - Inverness,Coca Cola,£265.99,Supplies
2026-04-11,Black Bull - Dundee,JJ Food Service,1711.68,Alcohol
15/01/2026,Royal Oak - Paisley,Brakes Catering,577.50,Utilities
2026-03-05,Red Lion - Glasgow,Local Butcher,57.14,Cleaning
3/10/2026,Royal Oak - Paisley,DIAGEO,65.28,Supplies
09/01/2026,Royal Oak - Paisley,Heineken UK,236.04,Cleaning
2026-02-03,The Crown - Stirling,Local Bakery,£165.97,Soft Drinks
16/01/2026,Red Lion - Glasgow,DIAGEO,365.23,Supplies
08/01/2026,Kings Arms - Edinburgh,BT PLC,33.35,Maintenance
1/16/2026,Queens Head - Aberdeen,jj foods,356.04,Cleaning
4/27/2026,The Crown - Stirling,Brakes Catering,403.16,Supplies
2026-02-10,Black Bull - Dundee,BT PLC,£225.80,Maintenance
20/02/2026,The Plough - Falkirk,Scottish Water,432.46 ,Food
