date,pub,supplier,amount,category
2026-03-18,Royal Oak - Paisley,Booker Wholesale,469.98,Alcohol
25/04/2026,The Ship Inn - Oban,Coca Cola,1001.60,Soft Drinks
23/02/2026,The Crown - Stirling,Scottish Water,892.39,Food
3/31/2026,White Hart - Inverness,EON Energy,967.98,Supplies
2026-03-31,The Crown - Stirling,Bidfood,842.31,   
2026-04-13,Kings Arms - Edinburgh,Amazon Business,478.44,Supplies
24/01/2026,Royal Oak - Paisley,Bidfood,1168.96,Food
23/03/2026,The Ship Inn - Oban,Booker Wholesale,506.37,Utilities
24/04/2026,Black Bull - Dundee,BT PLC,526.71,   
18/04/2026,The Ship Inn - Oban,British Gas,597.58,
1/17/2026,White Hart - Inverness,JJ Food Service,574.79,   
04/01/2026,The Swan - Ayr,Local Butcher,607.83,
04/01/2026,Fox & Hound - Hamilton,Scottish Water,£1062.59,   
2026-01-13,The Crown - Stirling,Booker Wholesale,£595.88,Supplies
2026-03-14,Red Lion - Glasgow,Bidfood,424.80,
24/03/2026,Queens Head - Aberdeen,Brakes Catering,£299.72,
3/8/2026,White Hart - Inverness,EON Energy,537.18,Alcohol
27/02/2026,The Ship Inn - Oban,Amazon Business,£829.48,Supplies
2026-02-02,The Anchor - Perth,DIAGEO,£633.61,   
18/01/2026,The Crown - Stirling,Amazon Business,101.20,Food
2026-02-15,The Plough - Falkirk,JJ Food Service,767.22,Food
2026-04-26,Fox & Hound - Hamilton,Bidfood,751.74,Utilities
18/01/2026,Black Bull - Dundee,BOOKER,346.28,   
2026-03-20,The Plough - Falkirk,Brakes Catering,165.31,
4/8/2026,Royal Oak - Paisley,DIAGEO,£577.55,   
03/04/2026,The Ship Inn - Oban,DIAGEO,983.61,   
2026-01-25,Black Bull - Dundee,Coca Cola,664.27,   
2026-03-24,Black Bull - Dundee,Scottish Water,1036.13,Supplies
1/29/2026,Black Bull - Dundee,Coca Cola,1136.42,
22/02/2026,White Hart - Inverness,Heineken UK,486.61,Soft Drinks
2026-04-26,The Swan - Ayr,Heineken UK,1096.55,Soft Drinks
4/1/2026,Red Lion - Glasgow,Brakes Catering,744.13,Soft Drinks
2026-01-19,Fox & Hound - Hamilton,Diageo Ltd,120.50,Utilities
4/19/2026,The Swan - Ayr,Brakes Catering,797.38,Alcohol
2026-02-07,Black Bull - Dundee,BOOKER,787.49,Utilities
27/03/2026,Fox & Hound - Hamilton,BT PLC,£1012.18,   
2026-01-12,The Ship Inn - Oban,JJ Food Service,173.17,   
4/22/2026,Kings Arms - Edinburgh,BT PLC,£187.44,Supplies
3/20/2026,White Hart - Inverness,Heineken UK,622.39,Alcohol
1/5/2026,The Ship Inn - Oban,JJ Food Service,£735.55,Food
1/6/2026,Black Bull - Dundee,Heineken UK,207.01,
2/8/2026,Fox & Hound - Hamilton,Booker Wholesale,1193.91,
2/14/2026,The Crown - Stirling,Diageo Ltd,729.29,
03/02/2026,Kings Arms - Edinburgh,Booker Wholesale,£1242.46,   
13/04/2026,The Crown - Stirling,Brakes Catering,£471.02,Utilities
4/6/2026,Kings Arms - Edinburgh,Scottish Water,972.64,Utilities
17/02/2026,Fox & Hound - Hamilton,British Gas,£281.00,Supplies
2/10/2026,Queens Head - Aberdeen,Booker Wholesale,574.22,Utilities
10/01/2026,Royal Oak - Paisley,Brakes Catering,841.24,Supplies
4/20/2026,White Hart - Inverness,Heineken UK,811.66,Utilities
3/25/2026,Black Bull - Dundee,BOOKER,685.23,   
2026-04-13,The Ship Inn - Oban,Scottish Water,637.61,Alcohol
2026-01-25,The Anchor - Perth,DIAGEO,106.34,Utilities
2/17/2026,White Hart - Inverness,BT PLC,304.63,   
2026-03-28,White Hart - Inverness,Diageo Ltd,562.81,
2/1/2026,The Swan - Ayr,Amazon Business,851.33,Alcohol
1/26/2026,The Plough - Falkirk,Amazon Business,398.89,Alcohol
15/03/2026,Black Bull - Dundee,Coca Cola,909.18,Food
14/04/2026,Kings Arms - Edinburgh,BT PLC,591.43,Food
3/5/2026,The Plough - Falkirk,BOOKER,£1155.00,
4/21/2026,The Anchor - Perth,Scottish Water,294.01,   
17/03/2026,Queens Head - Aberdeen,Brakes Catering,857.46,Alcohol
03/01/2026,The Swan - Ayr,Amazon Business,512.74,Soft Drinks
30/03/2026,Kings Arms - Edinburgh,JJ Food Service,£670.65,Soft Drinks
2026-04-20,Kings Arms - Edinburgh,British Gas,1071.22,   
3/12/2026,Royal Oak - Paisley,DIAGEO,1099.57,Food
2026-01-29,The Plough - Falkirk,Booker Wholesale,249.56,Supplies
1/24/2026,The Swan - Ayr,JJ Food Service,872.38,Soft Drinks
2/5/2026,Royal Oak - Paisley,Diageo Ltd,1234.62,Supplies
23/03/2026,Royal Oak - Paisley,Brakes Catering,1212.83,Soft Drinks
03/01/2026,The Ship Inn - Oban,Amazon Business,752.36,Utilities
4/14/2026,The Swan - Ayr,Coca Cola,£70.83,   
2026-01-02,Kings Arms - Edinburgh,Diageo Ltd,1014.81,   
1/26/2026,The Crown - Stirling,Diageo Ltd,£83.34,Alcohol
2026-04-29,The Ship Inn - Oban,Brakes Catering,989.16,
10/03/2026,Kings Arms - Edinburgh,BT PLC,1239.30,Food
13/01/2026,Queens Head - Aberdeen,BT PLC,703.88,Soft Drinks
2/2/2026,Royal Oak - Paisley,British Gas,417.69,Supplies
2026-03-12,Royal Oak - Paisley,Bidfood,163.45,
03/04/2026,Kings Arms - Edinburgh,Diageo Ltd,61.49,Supplies
3/14/2026,White Hart - Inverness,Brakes Catering,£1033.63,Utilities
4/20/2026,The Anchor - Perth,Booker Wholesale,947.63,   
02/04/2026,Red Lion - Glasgow,Amazon Business,£408.21,   
25/01/2026,The Anchor - Perth,Diageo Ltd,635.94,Supplies
1/14/2026,The Swan - Ayr,British Gas,1057.69,   
1/2/2026,Kings Arms - Edinburgh,BOOKER,632.75,   
05/03/2026,Black Bull - Dundee,Local Butcher,1210.55,Soft Drinks
2/2/2026,Royal Oak - Paisley,Brakes Catering,1102.63,Utilities
1/7/2026,Fox & Hound - Hamilton,BT PLC,1021.51,Supplies
2026-03-29,White Hart - Inverness,Heineken UK,788.68,Soft Drinks
09/03/2026,Queens Head - Aberdeen,Coca Cola,756.94,Utilities
26/01/2026,Fox & Hound - Hamilton,Scottish Water,367.38,Soft Drinks
11/01/2026,Black Bull - Dundee,BT PLC,696.40,   
4/5/2026,Black Bull - Dundee,Diageo Ltd,£1028.57,Food
02/04/2026,Royal Oak - Paisley,DIAGEO,758.93,Supplies
23/02/2026,The Swan - Ayr,Booker Wholesale,867.95,Supplies
11/04/2026,The Ship Inn - Oban,EON Energy,£785.41,Alcohol
2026-02-08,Kings Arms - Edinburgh,Brakes Catering,497.96,Food
2026-03-10,White Hart - Inverness,BT PLC,569.23,
01/02/2026,Black Bull - Dundee,Diageo Ltd,1174.39,Alcohol
16/04/2026,Black Bull - Dundee,Coca Cola,£425.13,   
03/03/2026,Red Lion - Glasgow,Scottish Water,1005.60,Food
2026-01-20,The Swan - Ayr,Coca Cola,811.09,
2/23/2026,Fox & Hound - Hamilton,Coca Cola,613.64,Alcohol
2026-02-21,The Crown - Stirling,BOOKER,990.08,   
2/15/2026,Queens Head - Aberdeen,Booker Wholesale,£486.22,Utilities
2026-03-16,The Swan - Ayr,Brakes Catering,744.84,
1/30/2026,Fox & Hound - Hamilton,BOOKER,856.48,Supplies
2026-03-01,Red Lion - Glasgow,Amazon Business,169.23,Alcohol
3/9/2026,Black Bull - Dundee,Coca Cola,£202.68,Utilities
08/02/2026,The Swan - Ayr,Booker Wholesale,535.84,Alcohol
09/03/2026,The Plough - Falkirk,Local Butcher,311.28,
21/04/2026,Royal Oak - Paisley,Scottish Water,658.99,Utilities
2/2/2026,The Crown - Stirling,Brakes Catering,555.93,Utilities
1/29/2026,The Crown - Stirling,Scottish Water,616.12,Food
2026-02-25,The Anchor - Perth,Brakes Catering,1093.61,Alcohol
1/3/2026,The Ship Inn - Oban,Booker Wholesale,367.01,Food
15/03/2026,Fox & Hound - Hamilton,Brakes Catering,330.21,Alcohol
3/25/2026,The Swan - Ayr,DIAGEO,544.37,Alcohol
2/16/2026,The Ship Inn - Oban,Diageo Ltd,1205.88,
06/02/2026,Queens Head - Aberdeen,Scottish Water,1052.17,Utilities
2026-03-27,Red Lion - Glasgow,BOOKER,456.00,Alcohol
10/04/2026,White Hart - Inverness,Local Butcher,224.67,Supplies
2026-04-15,Black Bull - Dundee,Coca Cola,643.60,Soft Drinks
2026-01-26,White Hart - Inverness,Coca Cola,1157.48,Supplies
2026-04-11,Royal Oak - Paisley,Scottish Water,£54.66,Food
01/04/2026,The Crown - Stirling,Local Butcher,996.59,   
2026-02-28,Black Bull - Dundee,Amazon Business,930.83,
25/04/2026,Kings Arms - Edinburgh,Coca Cola,£88.69,
4/15/2026,Kings Arms - Edinburgh,Coca Cola,£984.32,Food
2/9/2026,Royal Oak - Paisley,EON Energy,1139.38,
13/03/2026,The Plough - Falkirk,Bidfood,493.84,Supplies
2026-01-25,The Ship Inn - Oban,BT PLC,£505.98,Alcohol
14/03/2026,Kings Arms - Edinburgh,EON Energy,159.46,Utilities
3/4/2026,The Swan - Ayr,Coca Cola,452.39,Soft Drinks
06/04/2026,The Anchor - Perth,Diageo Ltd,807.16,   
2026-03-23,The Anchor - Perth,BT PLC,631.33,Supplies
29/03/2026,Queens Head - Aberdeen,Heineken UK,1079.81,
25/03/2026,The Ship Inn - Oban,Coca Cola,392.23,Soft Drinks
2026-04-06,The Plough - Falkirk,British Gas,528.83,Utilities
4/22/2026,The Ship Inn - Oban,Scottish Water,408.20,Utilities
