txn_date,merchant,value,category
2026-01-22,Sky Business,91.84,Supplies
16-4-2026,bakery co,280,33,
2026-03-22,BRAKES UK,1221.09,Utilities
12-2-2026,CleanCo,£747.25,Utilities
3/3/2026,J J Food,£1018.73,Soft Drinks
18-4-2026,Booker Ltd,1202.46,Alcohol
2026-04-15,Scottish Water,1055.98,Alcohol
9-2-2026,Amazon Business,1466.12,Supplies
1/15/2026,Booker Ltd,747.40,
2026-01-09,BRAKES UK,£854,49,Supplies
2026-03-25,Heineken UK,£617.74,Supplies
2026-04-21,Diageo Ltd,1349.30,Food
2026-04-09,HEINEKEN,1259.14,
2026-03-12,Heineken UK Ltd,1303.88,Food
27-3-2026,HEINEKEN,960.33,Food
11/02/2026,BOOKER,£1102.04,
1/7/2026,Sky Business,1018.86,
2026-04-13,scottish water,302.45,Food
2026-01-21,E.ON,568.71,Food
04/03/2026,BT Business,£970.87,Alcohol
2/15/2026,Booker Wholesale,975.82,
2026-03-20,scottish water,1497.37
4/5/2026,Local Butcher,1064.06,Supplies
6-3-2026,Diageo,1094.10,
19-1-2026,BRITISH GAS,387.99,
06/03/2026,The Local Butcher,451.46,Alcohol
2/2/2026,Brakes Catering,1341.79,
17-4-2026,JJ FOOD SERVICE,1121.04,Soft Drinks
07/02/2026,AMAZON UK,£581.87,
1/28/2026,BT Business,£1110,21,
4/6/2026,Booker Wholesale,1404.41,Supplies
3-4-2026,Scottish Water,136.47,Food
4/18/2026,Coca Cola,£883.58,
1/17/2026,EON,1407,04,Food
2026-02-11,e.on,376.21,Supplies
2026-01-14,Brakes,904.06,Supplies
3/22/2026,BritishGas,1415.95,Food
20-1-2026,Heineken UK Ltd,£884.27,Supplies
16-4-2026,Bakery Co,1213.38,
2026-01-31,BritishGas,870.78
2026-01-04,Diageo Ltd,908.67,Food
8-4-2026,BRAKES UK,-1077.59,Food
2/21/2026,Amazon,801.36,Food
8-3-2026,COCA-COLA EUROPACIFIC,396.38,Utilities
2026-04-02,Brakes,659.53,
