DATE,SUPPLIER,AMOUNT,
1/9/2026,Sky Business,1524.86,Utilities
2026-03-30,Local Bakery,246.79,Soft Drinks
10-3-2026,Cleaning Supplies Co,394.63
2026-04-03,BritishGas,701.61,Supplies
4/1/2026,Diageo Ltd,1155.15,Soft Drinks
23/03/2026,Sky Business,937.53,
1/11/2026,The Local Butcher,£505.38,Soft Drinks
11-3-2026,CLEANING SUPPLIES CO,575.43,
5-2-2026,BRITISH GAS,£548.42,Utilities
2026-03-21,E.ON,£1021.33,Supplies
5-3-2026,Local Bakery,464.48,Supplies
2026-01-22,JJ Food Service,182.22,Utilities
2/4/2026,sky,712.44,
2/17/2026,HEINEKEN,680.02,Utilities
2026-01-20,britishgas,347.42,
09/03/2026,scottish water,95.88,Utilities
03/03/2026,British Gas,1241.02,Alcohol
3/5/2026,Local Butcher,1209.44,
1/5/2026,JJ Food Service,633.21,Food
2026-03-18,J J FOOD,£135.32,Utilities
2026-03-06,Heineken UK,1531.54,Supplies
07/01/2026,BRAKES UK,1443.63,Food
19/03/2026,BRITISHGAS,1152.71,Alcohol
11/02/2026,BT Business,139.66,Alcohol
28-1-2026,Booker Wholesale,179.09,Utilities
2026-04-15,JJ FOOD SERVICE,1433.39,Supplies
1/17/2026,J J FOOD,1342,82,Supplies
2026-01-04,BRITISH GAS,845.17,Alcohol
2026-02-19,Local Bakery,1430.60,
4/7/2026,booker ltd,£710.50,Soft Drinks
3/11/2026,diageo,1042,97,
21-2-2026,SKY,590.83,
3/24/2026,Heineken UK Ltd,632.83,
12/03/2026,The Local Butcher,1374.56,Utilities
10/02/2026,SCOTTISH WATER,390.74,Alcohol
14/01/2026,jj food service,1248,25,
3/8/2026,Heineken UK Ltd,248,18,
18-2-2026,booker,£87.22,Utilities
27-3-2026,BOOKER,800.65,
2026-03-12,Booker Wholesale,775.10,
2026-04-13,COCA-COLA EUROPACIFIC,550.95,Supplies
2026-01-01,Coca Cola Europacific,938,22,
13-4-2026,EON Energy,135.61,
2026-01-06,coca cola europacific,464,51,
14/03/2026,Coca Cola,92.46,
2026-02-04,COCA-COLA EUROPACIFIC,309,63,Soft Drinks
1/14/2026,Scottish Water,313.57,Supplies
04/01/2026,amazon uk,232.46,
25/02/2026,Diageo,1469.22,Utilities
24-4-2026,SCOTTISH WATER,915.16,Food
1-4-2026,SCOTTISH WATER,£1386.23,
13/04/2026,Booker Wholesale,1094.54,Supplies
4/2/2026,BT,£607,79,
13/03/2026,EON,1471.30,Supplies
31/03/2026,Bakery Co,223.55,Soft Drinks
09/02/2026,Brakes Catering,1458.12,
2/8/2026,BritishGas,1497.67,Supplies
4/5/2026,COCA-COLA EUROPACIFIC,93,90,
26/04/2026,Booker Ltd,331.05,Soft Drinks
02/04/2026,BT Business,179.72
04/03/2026,DIAGEO LIMITED,388.27,Utilities
23-2-2026,BT,563.22,Soft Drinks
4/29/2026,diageo limited,1236.93,
13-2-2026,EON,1514.43,
1/18/2026,EON,1005.97,Utilities
28-3-2026,E.ON,£261.20,
2026-02-26,booker ltd,78.63,
1/18/2026,BT,£217.30,Alcohol
16-4-2026,Amazon Business,£1300.90,Utilities
28-1-2026,Local Bakery,711.76,
11-3-2026,BOOKER,706.51,Alcohol
3/9/2026,Diageo Ltd,587.27,Utilities
28-3-2026,British Gas,1079.57,
06/04/2026,BRITISH GAS,-565.14,
4/17/2026,Booker Wholesale,1455.16,Soft Drinks
2026-02-03,CleanCo,£1372.50,Food
3-2-2026,Local Bakery,1295.45,
3-2-2026,DIAGEO LIMITED,1354.97,
2/3/2026,Diageo Ltd,827.06,Utilities
23/03/2026,Heineken UK Ltd,339.14,Soft Drinks
15-2-2026,CleanCo,708.60,Food
2026-01-25,CLEANCO,-1235.71,Food
2026-01-04,BOOKER,£594.06,Supplies
4/11/2026,BRITISH GAS,£1483.65
9-2-2026,The Local Butcher,1304.45,Supplies
29-4-2026,brakes uk,550.60,Food
3-3-2026,coca cola,988.67,Alcohol
9-4-2026,Sky,406.58,Soft Drinks
10/03/2026,Sky Business,1007.87,Food
16/03/2026,BOOKER,1173.08,Supplies
11/03/2026,Local Butcher,837.16,
2026-03-05,Brakes,1151.62,
2026-03-29,EON,453.29
22-2-2026,DIAGEO LTD,117.73,Food
2026-02-06,BT PLC,£1526.63,
4/21/2026,booker,£1433.99,Supplies
1/11/2026,booker,£532.67
2/22/2026,Local Butcher,£1051,97,Supplies
2026-03-03,BRITISH GAS,£947.66,Utilities
2026-03-19,CleanCo,-1078.96,
21-2-2026,Cleaning Supplies Co,1323.16,Alcohol
19/03/2026,Brakes Catering,821,09,
25/04/2026,Sky,581.70,
2026-03-27,J J Food,-694.37,
2026-04-19,The Local Butcher,1028.42,
24/02/2026,The Local Butcher,878.35,Utilities
7-3-2026,SCOTTISH WATER,446.69,Alcohol
12/03/2026,HEINEKEN,911.84,
26-2-2026,Bakery Co,640,79,
2026-01-23,BRAKES UK,1223.47,
13/03/2026,E.ON,812,93,Food
3/24/2026,Local Butcher,943.89,
2026-01-05,Sky,523,63,
4/8/2026,Amazon,980.77,
21/01/2026,Brakes Catering,947.18,Supplies
4/29/2026,CleanCo,523.53,
2/2/2026,BRAKES UK,1331.84,Supplies
1/15/2026,HEINEKEN UK LTD,£544.16,Supplies
1/6/2026,Amazon Business,1398.98,Utilities
8-2-2026,HEINEKEN UK LTD,£227.17,Food
20/04/2026,Sky,£971.60,
1/20/2026,BRAKES,1061.21,
09/02/2026,J J Food,1165.56,Alcohol
2026-03-06,BT PLC,1112.34,Alcohol
19/04/2026,Booker Ltd,1241,84,
2/5/2026,Coca Cola Europacific,£547.04,
28/02/2026,J J Food,976.55,
29/03/2026,Amazon,1151.40,Supplies
16-2-2026,Coca Cola,-314.01,
3/4/2026,Amazon,1333.56,Food
2/26/2026,Brakes Catering,1414.68,
1/3/2026,BOOKER,470.94,Alcohol
2026-02-10,Heineken UK,356.83,
17/04/2026,SKY,-1474.18,Utilities
2026-02-01,Local Bakery,£1288,73,Supplies
1/14/2026,bt plc,933.04,Supplies
2026-04-03,HEINEKEN UK,£278,00,
9-1-2026,J J Food,1422.99,
3-2-2026,sky business,248.83
2026-04-05,Coca Cola,302.60,Soft Drinks
18-1-2026,BT,176.34,Food
24/01/2026,Coca Cola,861.66,
17-1-2026,BT Business,-£467.19,Utilities
2026-02-25,COCA-COLA EUROPACIFIC,376.07,
3/13/2026,Scottish Water,790.51,Soft Drinks
21-2-2026,Diageo,1254,31,Alcohol
2/26/2026,JJ FOOD SERVICE,£792.11,Supplies
10-3-2026,AMAZON UK,£1271.79,Soft Drinks
30-4-2026,E.ON,699.40,
14/01/2026,DIAGEO LIMITED,55.73,Alcohol
03/02/2026,Cleaning Supplies Co,1198.46,Supplies
2-3-2026,Diageo,519.53,
2026-02-25,JJ FOOD SERVICE,1434,31,Supplies
2/5/2026,EON Energy,581.49,Alcohol
06/01/2026,Coca Cola Europacific,496,93,Food
3/15/2026,BOOKER LTD,1452.40,
29-1-2026,Amazon Business,532.57,
4/8/2026,EON,1363.87
23/03/2026,scottish water,1150.64,Alcohol
2/16/2026,SCOTTISH WATER,719,29,
2026-04-01,Booker Ltd,796.46,
12-1-2026,Brakes,612.60,Utilities
26/01/2026,heineken uk,£1138.37,
2/15/2026,Sky Business,852.02,Utilities
1/11/2026,Bakery Co,£1246.55,Food
2026-03-23,Coca Cola,1543.80,
2026-04-09,sky,874.22,
18/02/2026,E.ON,£173.35,
12/04/2026,Brakes Catering,994.10,Alcohol
3/5/2026,The Local Butcher,-284.99,
2026-02-07,Amazon Business,423.73,
19-4-2026,Brakes,923.82,Supplies
1/7/2026,Bakery Co,1421.40,
2026-02-12,SCOTTISH WATER,678.86,
2026-02-20,Local Butcher,345.88,Utilities
2026-04-16,Diageo Ltd,105.41,Utilities
2026-03-11,EON Energy,1013,50,Alcohol
8-3-2026,EON Energy,741.93
16/02/2026,BRAKES UK,495,38,Soft Drinks
14/04/2026,Diageo,847.32,Utilities
2026-03-31,AMAZON BUSINESS,569.68,Food
24/03/2026,scottish water,259.43,Alcohol
4/12/2026,Local Bakery,-451.12,
18/04/2026,British Gas,1466.88,Soft Drinks
16/04/2026,AMAZON UK,474.94,
21-3-2026,JJ Food Service,-£1519.96,
29-3-2026,DIAGEO LIMITED,374.17,
13/02/2026,Sky,239.28,Food
4/2/2026,Heineken UK,496.33,Supplies
26/01/2026,Amazon,-£1025.24,
23-1-2026,E.ON,1186.04,
4/13/2026,JJ FOOD SERVICE,-£714.77,
1/25/2026,E.ON,263.67,Soft Drinks
08/02/2026,HEINEKEN,479.17,Utilities
6-1-2026,sky,605.87,Soft Drinks
04/02/2026,Booker Wholesale,1406.42,
11/03/2026,Sky Business,932.24,Soft Drinks
4/7/2026,BOOKER,571.58,Utilities
1/16/2026,Cleaning Supplies Co,1005.68,
25/02/2026,Sky Business,783.93,
20-1-2026,BT Business,1389,16,Food
20-4-2026,The Local Butcher,754.02,
2026-04-02,Diageo Ltd,£1488.87,Utilities
2026-01-16,Local Butcher,£1058.27,
2026-04-08,EON Energy,-1208.55,
13/03/2026,CleanCo,1482.57,
2-1-2026,BRITISH GAS,1411.33,Soft Drinks
2026-01-04,Cleaning Supplies Co,888.34,
13/01/2026,BT Business,502.62,Supplies
2/19/2026,Amazon,1377.74,Supplies
7-1-2026,Amazon,395,16,Supplies
2026-01-02,BritishGas,122.50,Food
17/04/2026,Diageo,751.05,Soft Drinks
2026-03-30,Coca Cola,1278.06,
18/04/2026,Amazon,-£239,09,Soft Drinks
14/03/2026,SCOTTISH WATER,925.16,
27/01/2026,Local Bakery,£1204.44,Utilities
2026-03-19,BT Business,967.41,
23/04/2026,BOOKER,1055,95,
4-2-2026,Heineken UK,1074.67,
27/03/2026,BOOKER,308.19,Utilities
2026-03-08,British Gas,1267.99,
01/01/2026,Booker Wholesale,1077.61,Food
2026-03-11,The Local Butcher,1292.28,Soft Drinks
11-4-2026,JJ Food Service,464.75,Food
4/10/2026,AMAZON UK,278.10,Alcohol
13-4-2026,BRAKES UK,514.28,Alcohol
15-3-2026,BT,654.82,Soft Drinks
30-4-2026,sky,1373.28,Food
23-2-2026,BRAKES UK,1297.11,Food
31/03/2026,J J FOOD,1432.37,
2026-03-18,Booker Wholesale,963.34,
4-4-2026,Booker Ltd,£227.15,Food
3/7/2026,JJ FOOD SERVICE,213.22,
17/01/2026,BRAKES UK,941.52,
10/02/2026,COCA COLA,566.78,
15/04/2026,Brakes Catering,84.51,
2026-04-20,Diageo,932,19,Alcohol
4/5/2026,E.ON,£487.45,Supplies
12/03/2026,J J Food,£618.79,Alcohol
3/11/2026,SCOTTISH WATER,263.34,
27/04/2026,EON,910.79,Supplies
12-2-2026,JJ FOOD SERVICE,125.64,
22/04/2026,Amazon,1107,13,
2026-01-15,E.ON,1215.16,Utilities
2026-04-09,BT Business,996.65,Utilities
2026-04-13,Booker Ltd,1298.84,Soft Drinks
2026-03-15,Local Butcher,63.39,Alcohol
2026-02-16,Sky,£658.84,
25-1-2026,british gas,1430.28,Soft Drinks
4/25/2026,HEINEKEN,£796.31,Supplies
2026-02-21,HEINEKEN,1130.53,
2026-04-01,BRAKES UK,£1065.00,Supplies
16-3-2026,Heineken UK Ltd,196.09,Food
27-3-2026,British Gas,1317.04,
09/03/2026,BRITISH GAS,408.17,Supplies
1/6/2026,EON Energy,1548,41,
2026-04-21,Coca Cola,770.68,
28/02/2026,COCA-COLA EUROPACIFIC,333.12,Supplies
11/03/2026,heineken uk,1258.78,Utilities
3/15/2026,Coca Cola Europacific,1351.95,
1/2/2026,CleanCo,-1150.96,Food
2026-04-05,BRITISH GAS,760.52
3/12/2026,BOOKER,533.29,Food
02/02/2026,J J FOOD,1339.68,
2026-02-21,EON Energy,1397.06,
3/17/2026,EON Energy,£135,96
7-4-2026,Bakery Co,1486.70,Food
2026-04-14,Local Butcher,1218.09,Soft Drinks
2/9/2026,BT,1174.41,Food
3-3-2026,Sky,229.62,Utilities
31-1-2026,Coca Cola Europacific,50.29,Supplies
1/7/2026,Scottish Water,251,81,Food
9-2-2026,Cleaning Supplies Co,663.61,Alcohol
2026-02-18,DIAGEO LTD,1264.39,Food
02/04/2026,CleanCo,1417.83,Soft Drinks
7-1-2026,Coca Cola,540.01,Alcohol
06/01/2026,bt,1330,96,Food
13/01/2026,EON,908.31,Food
14/04/2026,BritishGas,743.84,Food
2026-03-15,The Local Butcher,£1273.73,Alcohol
2026-02-07,J J Food,421.60,Supplies
2026-04-22,CleanCo,1427.97,Supplies
3/30/2026,SCOTTISH WATER,408.86,Utilities
3/17/2026,Diageo Ltd,531.78,
23/02/2026,BRITISH GAS,541.97,
16-1-2026,Local Bakery,1108.38,Food
9-4-2026,British Gas,700.99,
8-1-2026,HEINEKEN,-722.48,Food
2026-03-03,SCOTTISH WATER,1533.57,
2026-01-03,Amazon Business,1137,08,
4/13/2026,BOOKER,£1278.67,Food
2026-02-11,BT Business,1510.94,
11/04/2026,EON ENERGY,858.63,Soft Drinks
4/9/2026,HEINEKEN,1107.25,Supplies
19/02/2026,CLEANCO,£1231.92,Utilities
29-3-2026,Amazon,£1302.17,Soft Drinks
28-1-2026,DIAGEO LIMITED,722.57,Food
27-4-2026,COCA-COLA EUROPACIFIC,-1314.23,Utilities
24-1-2026,heineken uk ltd,1534.40,Soft Drinks
2026-02-15,BT Business,189.60,
27/03/2026,british gas,-871,98,Soft Drinks
31/03/2026,BOOKER,£868.65,Food
2/3/2026,booker ltd,1155,12,Supplies
25-4-2026,EON,£350.38,Utilities
11/01/2026,COCA-COLA EUROPACIFIC,1054.54,Alcohol
2/22/2026,JJ Food Service,£1126.61,Utilities
06/04/2026,Diageo Ltd,£899.22,Supplies
2026-02-16,British Gas,1205.17,Supplies
21/01/2026,The Local Butcher,781.19,
2026-01-06,local bakery,853.55,
07/04/2026,BRAKES CATERING,359.95,Utilities
2026-01-26,Brakes,792.47,Soft Drinks
2026-02-06,The Local Butcher,965.62,
02/04/2026,j j food,£462.44
2026-04-26,CLEANCO,£1075.10
12-3-2026,Local Butcher,62.87,Utilities
3/27/2026,Sky Business,£694.79,Food
17-4-2026,The Local Butcher,1052,54,Food
19-3-2026,AMAZON,831.55
03/01/2026,JJ Food Service,121.50,
2026-03-24,J J Food,1082.98,Food
4-3-2026,CleanCo,513.09,Supplies
23-1-2026,BRITISH GAS,271.00,
1/24/2026,Booker Wholesale,1542,61,
07/02/2026,Heineken UK Ltd,864.93,Soft Drinks
26-1-2026,Bakery Co,1526.90,
3/10/2026,Cleaning Supplies Co,1271.57,Utilities
27-3-2026,HEINEKEN,142.76,Utilities
3/12/2026,LOCAL BAKERY,387.87,
4/12/2026,BT Business,560.45,
6-4-2026,SCOTTISH WATER,527.40,Utilities
4/7/2026,Amazon Business,492.70,Utilities
09/01/2026,British Gas,120.29,Alcohol
4/16/2026,Amazon,-£1029.26,Soft Drinks
2/25/2026,British Gas,609.01,Supplies
10-1-2026,BRITISH GAS,699.92,Food
3-1-2026,Bakery Co,1507.57,Soft Drinks
23/02/2026,BT Business,526.46,
2/6/2026,Local Bakery,1448.58,Soft Drinks
04/04/2026,Brakes Catering,1478.56,Utilities
10-3-2026,jj food service,884.03,Food
26-3-2026,EON Energy,1405,70,Alcohol
23-2-2026,BOOKER,£243.65,Alcohol
2/21/2026,Scottish Water,1527.07,Utilities
2026-03-16,HEINEKEN,£994.45,Food
2026-01-31,The Local Butcher,618.96,Soft Drinks
2026-03-26,Heineken UK,1391.21,Alcohol
2026-01-08,COCA COLA EUROPACIFIC,1030.46,Alcohol
4/4/2026,Amazon,443.85,Food
01/03/2026,Heineken UK,1018.04,Soft Drinks
2026-01-28,JJ FOOD SERVICE,874.38,
4-2-2026,Sky,552.18,Food
02/03/2026,J J FOOD,£256.01
15-1-2026,EON,1077.66,Utilities
4/15/2026,EON Energy,118.54,Soft Drinks
2026-03-18,Sky Business,£1371,42,Alcohol
2026-03-16,Sky,247.62,Soft Drinks
24-1-2026,Coca Cola Europacific,1419.89
09/04/2026,Diageo,1484.08,Utilities
2026-04-06,EON,127.32,Supplies
01/04/2026,Diageo,-1141.31,Utilities
13/04/2026,Amazon Business,1187.07,Food
14-1-2026,British Gas,£1376.68,Supplies
23/02/2026,AMAZON BUSINESS,£647.46,Supplies
2026-03-26,jj food service,1108,03,
2026-02-01,Local Butcher,1254.67,Utilities
3/16/2026,EON,£1351.19,Utilities
2026-01-10,Diageo,1198.11,Utilities
25-2-2026,BritishGas,267.35,Food
13-1-2026,Scottish Water,698,82,
2-3-2026,Local Butcher,£373.30,
2026-02-21,AMAZON UK,669.61,
03/01/2026,BT,376.37,Supplies
27-3-2026,British Gas,1020.16,Alcohol
21-1-2026,The Local Butcher,1196.91,
22/04/2026,J J Food,957,72,Alcohol
2/13/2026,Local Bakery,229.26,Utilities
2026-04-26,Sky Business,1357.16,Utilities
2026-04-09,Sky,955.76,Supplies
1/8/2026,scottish water,387.77,
26/03/2026,bt,329.85,
3/15/2026,EON,£1143.85,Alcohol
21-1-2026,BRAKES UK,673.51,Supplies
1/23/2026,Local Bakery,£961.78,
3/9/2026,BritishGas,948.98,
29/04/2026,LOCAL BAKERY,1042.77,Utilities
2026-02-13,heineken uk,727.96,
4/29/2026,DIAGEO LIMITED,974.36,Alcohol
2026-01-13,BAKERY CO,153.81,Utilities
13/01/2026,BritishGas,557.64
4/8/2026,coca cola,£1374.77,Food
3/10/2026,Booker Ltd,543.60,Soft Drinks
13-4-2026,Cleaning Supplies Co,1066.95,Soft Drinks
14-3-2026,BOOKER,61.46,Utilities
2026-02-07,Sky Business,£446,20,
2026-03-15,BT PLC,-£534.16,
2026-01-26,HEINEKEN,422.14,Supplies
23-3-2026,COCA COLA,1311.36,Alcohol
2026-02-18,e.on,310.01,Alcohol
6-3-2026,Diageo,1227.22,
2026-03-28,CleanCo,1377.95,
13-2-2026,BT PLC,1114.05,
4/12/2026,heineken uk,-1323.53,
18/02/2026,Heineken UK Ltd,705.00,Supplies
21/02/2026,jj food service,£1530.91
2/11/2026,Heineken UK Ltd,£1250.34,
2026-01-10,DIAGEO LIMITED,1278,37,Supplies
11-4-2026,HEINEKEN,917.89,Food
1/13/2026,Coca Cola,906.11,Food
2026-01-08,amazon,179.56,Soft Drinks
19-2-2026,British Gas,£255.37,
2026-03-31,Heineken UK Ltd,£617.77,Alcohol
29-3-2026,CleanCo,1069.81,
2026-02-27,Local Butcher,1545.95,Food
12-1-2026,BRAKES CATERING,£398.88,Soft Drinks
3-4-2026,BRITISH GAS,£526.87,Food
1/23/2026,eon energy,692.59,Utilities
5-4-2026,COCA-COLA EUROPACIFIC,-£307.90,
2026-04-24,sky business,401.11,Utilities
3/29/2026,Heineken UK,£1038.48,Food
2-3-2026,BRAKES UK,390,97,Alcohol
2026-01-22,J J Food,413.25,Alcohol
26-4-2026,J J Food,1086.09,
04/03/2026,AMAZON BUSINESS,512.25,Utilities
2026-04-22,Booker Ltd,£218.99,Alcohol
17-4-2026,Sky,886.97,
2026-01-26,Amazon,£1160,08,Food
4/17/2026,heineken,1240.22,Alcohol
2026-04-28,BRITISHGAS,912.60,Supplies
2026-04-18,Booker Wholesale,£1273.70,
3/27/2026,J J Food,£1078.85,Supplies
20-3-2026,BritishGas,£952.89,
3/11/2026,Local Butcher,719.45,
1/22/2026,COCA-COLA EUROPACIFIC,115.33,
2026-03-15,EON Energy,1122.83,
4/12/2026,BRITISH GAS,1149.21,
27/01/2026,scottish water,£482.93,Soft Drinks
16/03/2026,Coca Cola,£899,49,
15/03/2026,Brakes,1424.70,Utilities
16/03/2026,HEINEKEN UK,103.28,
29/01/2026,Diageo,1215.80,
12/01/2026,Booker Ltd,268.65,
2026-01-31,British Gas,732.03,Soft Drinks
4/27/2026,AMAZON UK,1006.68,
2/9/2026,BT PLC,£1508.48,Food
4/30/2026,Amazon,111.18,Food
2026-03-22,HEINEKEN,704.73,
04/02/2026,JJ FOOD SERVICE,1516.43,
16/03/2026,british gas,805.37,Alcohol
24-2-2026,Local Butcher,612.50,
3/2/2026,BT Business,93.50,Food
09/04/2026,BT PLC,£1488.55,Supplies
20-2-2026,british gas,960.97,Alcohol
2026-04-01,Scottish Water,642.17,Soft Drinks
02/01/2026,Local Bakery,£1389.16,Alcohol
28-1-2026,THE LOCAL BUTCHER,1218.92,Supplies
26/01/2026,BRAKES UK,612.33,Supplies
06/04/2026,Cleaning Supplies Co,£146.06,Supplies
2/17/2026,Bakery Co,1071.67,Utilities
2026-01-11,Diageo,£788.26,Supplies
3/17/2026,DIAGEO,147.33,Utilities
05/01/2026,Brakes,898.76,Supplies
3/25/2026,BT,1380.35,
27/01/2026,JJ FOOD SERVICE,1239.62,
2-3-2026,Local Butcher,1049.91,Supplies
19/03/2026,british gas,1277.50
2026-03-27,Brakes Catering,£796.84,Soft Drinks
6-4-2026,Bakery Co,£115.86,Alcohol
17/03/2026,Booker Wholesale,156.56,Food
03/03/2026,Brakes,219.28,Utilities
2-1-2026,BT Business,333,14,Utilities
01/03/2026,Local Bakery,£464.01,Supplies
2026-01-26,BT PLC,986.31
22-1-2026,CleanCo,1109.10,
17/04/2026,Amazon,687.13,Utilities
04/02/2026,AMAZON UK,424.93,
17/01/2026,AMAZON UK,1081.82,Soft Drinks
24/04/2026,Coca Cola,£1477,18,Supplies
2026-01-09,jj food service,-352.57,
2/25/2026,DIAGEO LTD,1274,14,
22-3-2026,eon,992.17,Supplies
25-4-2026,Coca Cola,-£833.95,
3-2-2026,Sky Business,1518.48,
3/19/2026,J J Food,751.95,Food
07/04/2026,Local Bakery,573.20,
02/04/2026,Local Butcher,536.33,Utilities
05/04/2026,Coca Cola,742.98,
04/03/2026,coca cola,1160.86,Food
4/9/2026,JJ Food Service,714.43
09/03/2026,Local Butcher,81,85,Alcohol
11/04/2026,the local butcher,1008.09,
2026-02-28,the local butcher,536.74,
10-1-2026,Heineken UK Ltd,244.90,Soft Drinks
11/02/2026,BT,£787.00,
17-3-2026,Amazon,691.50,
13/04/2026,heineken uk,1184.00,Soft Drinks
2/4/2026,Local Butcher,1083.95
31/03/2026,BT Business,1420.62
2/22/2026,Booker Ltd,143,29,Utilities
12/03/2026,Brakes Catering,413.97,
26-2-2026,AMAZON UK,178.30,Utilities
4/11/2026,HEINEKEN,352.26,Food
31/01/2026,BAKERY CO,1324.38,
6-3-2026,Heineken UK Ltd,360.13,
23/04/2026,Booker Ltd,£893.93,
1/5/2026,Sky,523.14,Food
30/03/2026,BOOKER LTD,334.07,
1/2/2026,Scottish Water,462.41,Soft Drinks
3/30/2026,EON,£1292.82,Food
2/17/2026,SCOTTISH WATER,1006.06,
2026-02-06,DIAGEO LIMITED,1426.95,Soft Drinks
20/02/2026,The Local Butcher,£560.38,
2026-03-16,Heineken UK Ltd,369.74,
4/28/2026,EON,1434,85,
25-3-2026,Brakes,885.76,Utilities
2026-02-04,SCOTTISH WATER,316.94,Supplies
2026-02-01,AMAZON UK,-1485.89,
2026-03-29,J J Food,1012.05,
2026-03-27,J J Food,627.63,
2026-03-06,amazon business,628.11,Supplies
1/1/2026,EON,935.65,
2026-04-15,BritishGas,1102.49,
08/03/2026,diageo limited,761.28,
3/17/2026,Booker Ltd,1108.23,
9-3-2026,The Local Butcher,840.32,
27-4-2026,Cleaning Supplies Co,1103.77,Utilities
27-3-2026,eon,833.68,Utilities
