date,pub,supplier,amount,category
2026-01-31,The Copper Stag - Glasgow,Monthly Spend Summary,18420.00,Total Spend
2026-02-28,The Copper Stag - Glasgow,Monthly Spend Summary,19110.00,Total Spend
2026-03-31,The Copper Stag - Glasgow,Monthly Spend Summary,20580.00,Total Spend
2026-04-30,The Copper Stag - Glasgow,Monthly Spend Summary,21890.00,Total Spend
2026-05-31,The Copper Stag - Glasgow,Monthly Spend Summary,22940.00,Total Spend
2026-06-30,The Copper Stag - Glasgow,Monthly Spend Summary,24150.00,Total Spend
2026-01-31,The Harbour Fox - Edinburgh,Monthly Spend Summary,17250.00,Total Spend
2026-02-28,The Harbour Fox - Edinburgh,Monthly Spend Summary,17680.00,Total Spend
2026-03-31,The Harbour Fox - Edinburgh,Monthly Spend Summary,18140.00,Total Spend
2026-04-30,The Harbour Fox - Edinburgh,Monthly Spend Summary,18960.00,Total Spend
2026-05-31,The Harbour Fox - Edinburgh,Monthly Spend Summary,19720.00,Total Spend
2026-06-30,The Harbour Fox - Edinburgh,Monthly Spend Summary,20490.00,Total Spend
2026-01-31,The Old Mill - Stirling,Monthly Spend Summary,13980.00,Total Spend
2026-02-28,The Old Mill - Stirling,Monthly Spend Summary,14220.00,Total Spend
2026-03-31,The Old Mill - Stirling,Monthly Spend Summary,15110.00,Total Spend
2026-04-30,The Old Mill - Stirling,Monthly Spend Summary,15860.00,Total Spend
2026-05-31,The Old Mill - Stirling,Monthly Spend Summary,16240.00,Total Spend
2026-06-30,The Old Mill - Stirling,Monthly Spend Summary,16680.00,Total Spend
2026-01-31,The Black Lantern - Dundee,Monthly Spend Summary,15640.00,Total Spend
2026-02-28,The Black Lantern - Dundee,Monthly Spend Summary,16180.00,Total Spend
2026-03-31,The Black Lantern - Dundee,Monthly Spend Summary,16990.00,Total Spend
2026-04-30,The Black Lantern - Dundee,Monthly Spend Summary,17840.00,Total Spend
2026-05-31,The Black Lantern - Dundee,Monthly Spend Summary,18610.00,Total Spend
2026-06-30,The Black Lantern - Dundee,Monthly Spend Summary,19370.00,Total Spend
2026-01-31,The Silver Birch - Aberdeen,Monthly Spend Summary,20120.00,Total Spend
2026-02-28,The Silver Birch - Aberdeen,Monthly Spend Summary,20840.00,Total Spend
2026-03-31,The Silver Birch - Aberdeen,Monthly Spend Summary,21660.00,Total Spend
2026-04-30,The Silver Birch - Aberdeen,Monthly Spend Summary,22790.00,Total Spend
2026-05-31,The Silver Birch - Aberdeen,Monthly Spend Summary,23820.00,Total Spend
2026-06-30,The Silver Birch - Aberdeen,Monthly Spend Summary,24950.00,Total Spend
2026-01-31,The Anchor & Ale - Perth,Monthly Spend Summary,12740.00,Total Spend
2026-02-28,The Anchor & Ale - Perth,Monthly Spend Summary,13190.00,Total Spend
2026-03-31,The Anchor & Ale - Perth,Monthly Spend Summary,13620.00,Total Spend
2026-04-30,The Anchor & Ale - Perth,Monthly Spend Summary,13980.00,Total Spend
2026-05-31,The Anchor & Ale - Perth,Monthly Spend Summary,14410.00,Total Spend
2026-06-30,The Anchor & Ale - Perth,Monthly Spend Summary,15030.00,Total Spend
2026-01-31,The Highland Crown - Inverness,Monthly Spend Summary,11890.00,Total Spend
2026-02-28,The Highland Crown - Inverness,Monthly Spend Summary,12160.00,Total Spend
2026-03-31,The Highland Crown - Inverness,Monthly Spend Summary,12830.00,Total Spend
2026-04-30,The Highland Crown - Inverness,Monthly Spend Summary,13420.00,Total Spend
2026-05-31,The Highland Crown - Inverness,Monthly Spend Summary,13970.00,Total Spend
2026-06-30,The Highland Crown - Inverness,Monthly Spend Summary,14620.00,Total Spend
